Age 0 to age 1 mortality with PE for cultivation/depensation ms,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Lagged,,,,,,
WBICYR(Age 0),MWBC,COUNTY,LAKE,AREA,YEAR,WRC (at Age0),Avg AGE0CPE (t),Avg Age1CPE (t+1),Adult PE (t),Adult no./acre,Surv.,M,S,M,,,Age0,M,
6924002014,692400,FOREST,BUTTERNUT L,1292,2014,C-NR,26,3.875,3509,2.715944272,0.15,0.85,,,,,,,
22833002014,2283300,PRICE,BUTTERNUT L,1006,2014,NR,49.9107143,47.0535714,6630,6.590457256,0.94,0.06,,,,,,,
6924002015,692400,FOREST,BUTTERNUT L,1292,2015,C-NR,49.375,7.375,2470,1.911764706,0.15,0.85,,,,,,,
6924002016,692400,FOREST,BUTTERNUT L,1292,2016,C-NR,48,15.125,2432,1.882352941,0.32,0.68,,,,,,,
6924002017,692400,FOREST,BUTTERNUT L,1292,2017,C-NR,0.25,0.25,1992,1.541795666,1.00,0.00,,,,,,,
15448001990,1544800,ONEIDA,CARROL L,352,1990,C-ST,1.3114754,0,997,2.832386364,0.00,1.00,,,,,,,
16037001993,1603700,VILAS,CATFISH L,1012,1993,NR,32.7723392,23.4513274,2977,2.941699605,0.72,0.28,,,,,,,
16037002013,1603700,VILAS,CATFISH L,1012,2013,NR,0.619469,0.1769912,5082,5.02173913,0.29,0.71,,,,,,,
26151002013,2615100,ST CROIX,CEDAR L,1100,2013,NR,6.2790698,0.9302326,3768,3.425454545,0.15,0.85,,,,,,,
23505001995,2350500,RUSK,CHAIN L,468,1995,NR,18.90625,7.5949367,1771,3.784188034,0.40,0.60,,,,,,,
9775001990,977500,ONEIDA,CLEAR L,846,1990,NR,0.1449275,0,1970,2.328605201,0.00,1.00,,,,,,,
23290001993,2329000,VILAS,CLEAR L,555,1993,NR,3.1111111,1.1267606,1987,3.58018018,0.36,0.64,,,,,,,
9775001996,977500,ONEIDA,CLEAR L,846,1996,NR,1.3043478,0.7971014,3093,3.656028369,0.61,0.39,,,,,,,
23290001999,2329000,VILAS,CLEAR L,555,1999,C-NR,13.5185185,2.9577465,1616,2.911711712,0.22,0.78,,,,,,,
9775002000,977500,ONEIDA,CLEAR L,846,2000,NR,5.5797101,0.6521739,3241,3.830969267,0.12,0.88,,,,,,,
23290002004,2329000,VILAS,CLEAR L,555,2004,C-NR,52.5581395,20.2816901,1576,2.83963964,0.39,0.61,,,,,,,
9775002005,977500,ONEIDA,CLEAR L,846,2005,NR,8.55072465,0.3703704,2096,2.477541371,0.04,0.96,,,,,,,
9775002012,977500,ONEIDA,CLEAR L,846,2012,NR,4.2753623,0.5072464,1897,2.242316785,0.12,0.88,,,,,,,
29535001993,2953500,VILAS,CRAB L,949,1993,NR,9.6666667,6.2025316,1825,1.923076923,0.64,0.36,,,,,,,
29535002002,2953500,VILAS,CRAB L,949,2002,NR,9.4303797,4.3396882,2602,2.741833509,0.46,0.54,,,,,,,
29535002012,2953500,VILAS,CRAB L,949,2012,NR,5.5063291,5.1265823,1757,1.85142255,0.93,0.07,,,,,,,
16038001993,1603800,VILAS,CRANBERRY L,956,1993,NR,49.1358025,12.8070175,2969,3.105648536,0.26,0.74,,,,,,,
15642001989,1564200,ONEIDA,CRESCENT L,612,1989,NR,34.7972973,15.2702703,4323,7.06372549,0.44,0.56,,,,,,,
15642001992,1564200,ONEIDA,CRESCENT L,612,1992,NR,61.0810811,14.1891892,2410,3.937908497,0.23,0.77,,,,,,,
15642002000,1564200,ONEIDA,CRESCENT L,612,2000,NR,7.8378378,0.6756757,2598,4.245098039,0.09,0.91,,,,,,,
15642002006,1564200,ONEIDA,CRESCENT L,612,2006,NR,145,7.6923077,2242,3.663398693,0.05,0.95,,,,,,,
15642002010,1564200,ONEIDA,CRESCENT L,612,2010,NR,35.6756757,8.5135135,3526,5.761437908,0.24,0.76,,,,,,,
15642002015,1564200,ONEIDA,CRESCENT L,612,2015,NR,19.7297297,14.0540541,4501,7.354575163,0.71,0.29,,,,,,,
15969001990,1596900,ONEIDA,DAM L,744,1990,NR,7.6623377,3.3766234,2627,3.530913978,0.44,0.56,,,,,,,
15969001997,1596900,ONEIDA,DAM L,744,1997,NR,23.9705882,13.1147541,2556,3.435483871,0.55,0.45,,,,,,,
15969002005,1596900,ONEIDA,DAM L,744,2005,NR,68.4931507,17.4025974,2127,2.858870968,0.25,0.75,,,,,,,
23166002015,2316600,VILAS,DEAD PIKE L,297,2015,C-ST,0.8823529,0.5714286,166,0.558922559,0.65,0.35,,,,,,,
16002001993,1600200,VILAS,EAGLE L,572,1993,NR,61.6666667,12.7083333,2259,3.949300699,0.21,0.79,,,,,,,
16002002000,1600200,VILAS,EAGLE L,572,2000,NR,26.25,6.875,2855,4.991258741,0.26,0.74,,,,,,,
15797002001,1579700,LANGLADE,ENTERPRISE L,505,2001,NR,37.1666667,3,2004,3.968316832,0.08,0.92,,,,,,,
15797002005,1579700,LANGLADE,ENTERPRISE L,505,2005,NR,25.4237288,2.8333333,426,0.843564356,0.11,0.89,,,,,,,
15797002011,1579700,LANGLADE,ENTERPRISE L,505,2011,NR,53.1666667,7.8333333,865,1.712871287,0.15,0.85,,,,,,,
15797002015,1579700,LANGLADE,ENTERPRISE L,505,2015,NR,12.8333333,1.8333333,1303,2.58019802,0.14,0.86,,,,,,,
23399001994,2339900,VILAS,ESCANABA L,293,1994,NR,162.3882503,75.47892723,3566,12.17064846,0.46,0.54,,,,,,,
23399001995,2339900,VILAS,ESCANABA L,293,1995,NR,34.81800765,16.09195403,1179,4.023890785,0.46,0.54,,,,,,,
23399001996,2339900,VILAS,ESCANABA L,293,1996,NR,14.17624523,3.5759898,1002,3.419795222,0.25,0.75,,,,,,,
23399001997,2339900,VILAS,ESCANABA L,293,1997,NR,98.91443167,24.3295019,2864,9.774744027,0.25,0.75,,,,,,,
23399001998,2339900,VILAS,ESCANABA L,293,1998,NR,99.74457217,2.745849267,2493,8.508532423,0.03,0.97,,,,,,,
23399001999,2339900,VILAS,ESCANABA L,293,1999,NR,180.7151979,105.0287356,1455,4.965870307,0.58,0.42,,,,,,,
23399002000,2339900,VILAS,ESCANABA L,293,2000,NR,14.22413793,1.532567067,1518,5.180887372,0.11,0.89,,,,,,,
23399002001,2339900,VILAS,ESCANABA L,293,2001,NR,299.1698595,8.5568327,1804,6.156996587,0.03,0.97,,,,,,,
23399002002,2339900,VILAS,ESCANABA L,293,2002,NR,114.7509579,38.05874843,1088,3.71331058,0.33,0.67,,,,,,,
23399002003,2339900,VILAS,ESCANABA L,293,2003,NR,25.35121327,7.790549167,847,2.890784983,0.31,0.69,,,,,,,
23399002004,2339900,VILAS,ESCANABA L,293,2004,NR,54.78927203,5.747126433,835,2.849829352,0.10,0.90,,,,,,,
23399002005,2339900,VILAS,ESCANABA L,293,2005,NR,100.8939975,22.15836523,1756,5.993174061,0.22,0.78,,,,,,,
