wbic,Secchi_satellite,Secchi,Calcium,Conductance,Alkalinity,pH,totalP,Color,Dissolved OC,MEI
139600,0.671714207,0.3,NA,475,180,7.8,NA,5,NA,NA
139900,0.983642556,0.7,34,292,141.5,8.35,0.14,5,NA,NA
140500,1.163130723,0.3,NA,380,162,8,NA,5,NA,NA
141400,0.371217213,1.15,21,396,122,9.1,0.035,4,NA,NA
142200,1.094203676,0.6,NA,311,163,7.9,NA,3,NA,NA
144800,NA,NA,NA,461,233,7.8,NA,5,NA,NA
145700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146100,1.129890496,4.5,32.50833333,522.708919,170.5,8.095168144,0.026,4,NA,16.75349099
146400,1.271272936,1.8,NA,412,280,8.8,NA,4,NA,343.3333333
146500,1.723412665,2.1,NA,428,280,8.6,NA,5,NA,83.92156863
147600,2.252703093,0.9,NA,999,NA,NA,NA,NA,NA,NA
148100,1.566175737,1.8,NA,474,196,8.6,NA,5,NA,112.8571429
149000,2.552044118,2.4,NA,317,110,8,NA,4,NA,48.03030303
149800,1.803696883,0.3,31,303,147,7.7,0.014,NA,NA,336.6666667
150600,3.154560899,4.2,NA,201,120,8.5,NA,4,NA,NA
150800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
