wbic,Area,Length,MaxDepth,MeanDepth
182400,33056.44926,786.975475,NA,NA
182600,14636.97016,456.809876,NA,NA
182700,91509.12891,2315.033428,1.5,NA
182800,38888.88024,748.735577,3.6,NA
182900,193485.1761,2363.88474,7.8,NA
183000,185061.1142,2055.663608,7.5,NA
183100,27617.70526,661.074539,NA,NA
183200,79807.8501,1369.168834,17.4,NA
183300,29659.85518,824.115973,NA,NA
183400,82821.18497,1415.95655,3,NA
183500,55464.07823,868.002589,6,NA
183600,120445.137,1422.100863,1.5,NA
183700,95041.63225,1399.422488,8.4,NA
183800,86965.00846,1722.952128,6,3
183900,35689.70544,692.343882,NA,NA
184000,226128.4173,2919.259426,4.5,NA
184100,134657.9663,1704.986512,3.6,NA
184200,305052.6342,2810.537421,10.8,6.9
184300,138522.8829,1681.262445,3.9,NA
184400,91157.29333,1105.227025,2.7,NA
184500,385411.8501,2613.227287,4.5,NA
184600,57238.92331,1006.07835,3.3,NA
184700,76354.08798,1315.886671,0.6,NA
184800,36443.17541,961.306296,NA,NA
185000,114129.0771,2234.273235,1.2,NA
185100,14577.79566,539.518315,NA,NA
185200,24535.69747,590.918651,NA,NA
185300,96314.05781,1195.59557,3,1.5
185400,18146.09193,496.027552,NA,NA
185500,54523.56155,944.184684,1.8,NA
185600,47241.14752,835.366865,0.6,NA
185700,16752.172,472.247619,NA,NA
185800,24830.10494,726.269762,NA,NA
185900,103336.6111,1589.933247,5.4,NA
186000,91577.64756,1761.672806,4.5,NA
186100,36280.56628,853.812859,NA,NA
186200,60296.52192,938.910054,0.9,NA
186400,562670.6148,4151.687749,19.5,NA
186500,47948.61711,1168.740948,3,NA
186600,85299.97896,1169.095506,2.1,NA
186700,81019.81559,1897.957624,5.1,1.5
186800,154387.6912,2525.387415,2.1,NA
186900,148548.4868,2080.604785,1.5,NA
187000,127166.0673,1593.846446,1.8,1.2
187100,314182.8502,3704.452631,5.7,NA
187200,41886.58559,791.892898,5.7,NA
187300,129392.175,1505.539433,4.5,NA
187400,41735.03139,758.680787,3.6,NA
187500,22451.7775,1185.598155,0.9,NA
187600,31257.82315,818.117651,NA,NA
187700,91933.3011,1422.901197,12.3,4.8
187800,42276.07644,931.76488,7.2,NA
187900,166798.1242,1860.948626,1.5,NA
188000,166280.1431,1972.354853,11.4,NA
188100,69451.71903,1247.900044,1.5,NA
188200,108438.2323,2001.241605,14.4,NA
188300,74821.1497,1818.955441,1.2,NA
188500,43533.60833,773.228705,1.5,NA
188600,37844.48242,990.558949,4.2,NA
188700,153399.6766,2931.88574,2.4,NA
188800,22161.6144,607.549261,NA,NA
188900,53186.19533,1386.265066,8.1,NA
189000,35790.49954,793.042011,NA,NA
189100,66477.71463,997.66366,6,3
189200,49814.60258,1172.868655,3,NA
189300,84461.90213,1102.440044,1.8,NA
189400,78566.44982,1081.022295,5.7,NA
189500,80604.38569,1461.428651,11.4,NA
189600,298374.7757,3918.383948,8.7,NA
189700,28102.49862,689.481514,NA,NA
189800,435178.576,4660.57335,10.8,4.8
189900,35482.67618,749.878921,NA,NA
190000,53440.64005,1185.209395,1.2,NA
190100,183814.6697,1697.127684,9.3,NA
190200,210913.6751,2229.540136,5.4,3
190300,61585.93684,946.463816,3,NA
190400,24509.75585,1641.074734,NA,NA
190500,410600.1905,3653.132867,8.4,NA
190600,21196.64943,654.756079,NA,NA
190700,100031.5839,1167.597956,1.5,NA
190800,339222.9105,3410.513437,5.4,NA
190900,83308.98187,1683.363485,5.1,3
191100,1028724.388,7366.446762,21.3,NA
191200,246818.1803,2651.067581,6.6,NA
191300,41087.5403,968.389701,1.8,NA
191400,176766.654,1912.71477,3.9,1.8
191500,31297.15276,635.11249,NA,NA
191600,12973.30854,514.398668,NA,NA
191700,449481.3904,5150.707386,10.5,NA
191900,116536.9877,1299.653069,9.3,NA
192000,54785.51706,931.223476,3.3,NA
192100,45004.72095,966.53239,1.8,NA
192200,63359.2836,1554.167846,1.5,NA
192300,51373.07002,1078.161892,8.4,3.6
192400,51305.54342,1057.027051,9.3,7.2
192500,80028.33478,1337.64446,5.4,3.3
192600,75081.24746,1414.39709,4.2,NA
192700,58585.97876,1092.613588,4.5,NA
192800,67718.88503,1039.017172,2.7,NA
192900,101259.3245,1533.556698,12,NA
193000,87875.64393,1397.712649,3,NA
193100,169266.2228,1817.830837,2.1,NA
193200,17720.4938,550.392659,NA,NA
193300,60779.95947,895.209429,2.1,NA
193500,26203.45635,797.054085,NA,NA
193600,43191.71265,797.137946,3.6,NA
193700,61749.43504,1061.379503,1.2,NA
193800,280255.0147,2556.609003,5.1,2.4
193900,31954.06271,700.975326,NA,NA
194000,321215.2209,4289.778031,10.2,3.6
194100,21149.13161,564.306935,NA,NA
194200,171392.0358,1793.873566,5.4,NA
194300,30094.69724,696.856363,NA,NA
194400,10561.48262,485.588716,1.5,NA
194500,132924.1747,1663.829913,5.4,NA
194600,107625.5611,1393.912206,0.9,NA
194700,52860.48924,1276.492646,3.3,NA
194800,203883.8223,1688.921984,14.1,NA
194900,81638.21003,1927.141153,1.2,NA
195000,171861.0428,2697.156944,5.1,1.5
195100,193395.6756,1672.376562,4.2,NA
195200,36256.59266,744.276307,NA,NA
195300,51803.02945,874.512553,3,NA
195400,409486.7274,3553.771284,15,7.5
195500,44198.82309,768.066073,6.6,NA
195600,40975.40838,764.102978,4.8,NA
195700,100874.3706,1634.875639,6.3,NA
195800,45250.49655,767.222514,6.9,NA
195900,159531.2696,1806.844975,4.8,NA
196100,553813.3297,4139.495166,14.4,4.8
196200,92697.74591,1189.340857,3,NA
196300,48120.56801,818.101153,2.4,NA
196500,232182.1725,2380.648536,1.8,NA
196600,45965.68559,1244.713415,2.1,NA
196700,64204.30183,958.6725,7.2,NA
196800,20530.25912,653.84135,NA,NA
197000,103893.7207,2233.86211,2.4,NA
197100,32958.02286,762.876506,NA,NA
197200,62521.0163,994.873471,5.7,NA
197300,300415.1682,2290.507834,5.7,3
197400,57335.93542,877.699919,7.5,NA
197500,34315.92085,782.121139,0.9,NA
197600,205807.0902,1715.2083,11.1,NA
197700,91281.96856,1344.125055,2.7,NA
197800,73604.86931,1556.671035,3.6,NA
197900,430428.4019,3462.844938,8.4,NA
198000,55937.4511,977.486084,8.7,NA
198100,728031.2997,10011.89663,9,3
198200,60381.01811,956.940144,2.1,NA
198400,70106.88126,1075.492506,1.8,NA
198600,136605.1478,1423.004708,3,1.5
198700,25546.57008,929.21808,NA,NA
198800,286329.6241,2006.745883,5.1,2.1
198900,140246.5869,1800.513678,3.3,NA
199000,83558.50864,1124.859542,6,NA
199100,24410.18338,1190.290669,NA,NA
199200,19040.40431,574.804193,NA,NA
199300,225263.9922,2130.157631,2.4,NA
