wbic,Developed,Barren,Forest,Shrub.Scrub,Grassland,Pasture.hay,CultivatedCrops,Wetlands
97900,0,0,0.06937799,0,0,0.007177033,0,0.923444976
98300,0,0,0,0,0,0,0,1
98600,0.117353308,0,0.075530587,0,0.006242197,0.191011236,0,0.609862672
98900,0,0,0.021126761,0.063380282,0.077464789,0,0,0.838028169
99100,0,0,0.001680672,0,0.042016807,0,0,0.956302521
100000,0.62962963,0,0,0,0,0.37037037,0,0
101100,0,0,0,0,0,0,0,1
101300,0.31372549,0,0.5,0,0,0,0.068627451,0.117647059
101400,0.05,0,0.138461538,0,0.003846154,0,0.703846154,0.103846154
101500,0,0,0.558441558,0.25974026,0.181818182,0,0,0
101600,0.055045872,0,0.724770642,0,0,0,0,0.220183486
101700,0.041237113,0,0.865979381,0.068728522,0,0,0,0.024054983
101800,0,0,0.95862069,0,0,0,0.04137931,0
101900,0.086956522,0,0.453416149,0,0,0,0.236024845,0.223602484
102000,0,0,0.628318584,0.123893805,0,0.044247788,0.17699115,0.026548673
102100,0.371212121,0,0.378787879,0,0,0,0.098484848,0.151515152
102200,0.161290323,0,0.564516129,0.032258065,0.241935484,0,0,0
102300,0.288,0,0.352,0.032,0.192,0.136,0,0
102500,0.168224299,0,0.345794393,0.065420561,0.046728972,0.186915888,0.08411215,0.102803738
102600,0.082191781,0,0.545205479,0.098630137,0.049315068,0.002739726,0.093150685,0.128767123
102700,0.117647059,0,0.7,0.047058824,0.029411765,0,0.105882353,0
102800,0.21399177,0,0.489711934,0.144032922,0,0,0.152263374,0
102900,0.032786885,0,0.893442623,0.040983607,0,0,0.032786885,0
103000,0,0,0.722772277,0.04950495,0,0.128712871,0,0.099009901
103100,0.081818182,0,0.645454545,0.227272727,0,0,0.045454545,0
103200,0.12,0,0.88,0,0,0,0,0
103300,0.122222222,0,0.75,0,0,0,0.127777778,0
103400,0.185,0,0.56,0.01,0.02,0,0.225,0
103600,0.192200557,0,0.281337047,0.058495822,0.072423398,0,0.052924791,0.342618384
103700,0,0,0.567567568,0,0,0.081081081,0.301801802,0.04954955
103800,0.007874016,0,0.708661417,0,0,0,0.118110236,0.165354331
103900,0.275534442,0,0.313539192,0,0.021377672,0,0.140142518,0.249406176
104000,0.297131148,0,0.286885246,0.084016393,0,0.053278689,0.137295082,0.141393443
104100,0,0,0,0,0,0,0,1
104200,0.155555556,0,0.586666667,0,0.053333333,0.017777778,0.031111111,0.155555556
104300,0.178378378,0,0.389189189,0.064864865,0.005405405,0,0.210810811,0.151351351
104400,0.333333333,0,0.342342342,0.279279279,0.036036036,0,0,0.009009009
104500,0.063063063,0,0.765765766,0,0,0,0.09009009,0.081081081
104600,0.115606936,0,0.803468208,0.080924855,0,0,0,0
104700,0.146341463,0,0.32195122,0.097560976,0.082926829,0.004878049,0.024390244,0.32195122
104800,0.0625,0,0.928571429,0,0,0,0,0.008928571
104900,0.15,0,0.8,0,0,0,0.05,0
105200,0.333333333,0,0.666666667,0,0,0,0,0
105300,0,0,0.175824176,0,0,0,0.010989011,0.813186813
105600,0.058252427,0,0.86407767,0,0.077669903,0,0,0
105700,0.06557377,0,0.295081967,0,0,0,0.196721311,0.442622951
105800,0.19047619,0,0.56547619,0,0.19047619,0,0.053571429,0
105900,0.23015873,0,0.507936508,0.047619048,0,0,0.007936508,0.206349206
106000,0.282608696,0,0.413043478,0,0,0,0.137681159,0.166666667
